Date,Impressions (organic),Impressions (sponsored),Impressions (total),Unique impressions (organic),Clicks (organic),Clicks (sponsored),Clicks (total),Reactions (organic),Reactions (sponsored),Reactions (total),Comments (organic),Comments (sponsored),Comments (total),Reposts (organic),Reposts (sponsored),Reposts (total),Engagement rate (organic),Engagement rate (sponsored),Engagement rate (total)
05/31/2025,814,0,814,305,219,0,219,17,0,17,0,0,0,0,0,0,0.28992628992628994,0,0.28992628992628994
06/01/2025,1336,0,1336,578,759,0,759,25,0,25,1,0,1,0,0,0,0.5875748502994012,0,0.5875748502994012
06/02/2025,2436,0,2436,910,612,0,612,38,0,38,1,0,1,0,0,0,0.2672413793103448,0,0.2672413793103448
06/03/2025,1552,0,1552,585,246,0,246,31,0,31,2,0,2,1,0,1,0.18041237113402062,0,0.18041237113402062
06/04/2025,1083,0,1083,487,164,0,164,47,0,47,5,0,5,1,0,1,0.20036934441366575,0,0.20036934441366575
06/05/2025,724,0,724,330,103,0,103,15,0,15,0,0,0,0,0,0,0.16298342541436464,0,0.16298342541436464
06/06/2025,1479,0,1479,880,105,0,105,8,0,8,1,0,1,0,0,0,0.07707910750507099,0,0.07707910750507099
06/07/2025,918,0,918,477,182,0,182,3,0,3,1,0,1,1,0,1,0.2037037037037037,0,0.2037037037037037
06/08/2025,878,0,878,396,158,0,158,10,0,10,0,0,0,0,0,0,0.19134396355353075,0,0.19134396355353075
06/09/2025,1627,0,1627,730,202,0,202,43,0,43,0,0,0,0,0,0,0.1505838967424708,0,0.1505838967424708
06/10/2025,987,0,987,427,162,0,162,16,0,16,1,0,1,0,0,0,0.18135764944275581,0,0.18135764944275581
06/11/2025,1331,0,1331,617,207,0,207,47,0,47,0,0,0,0,0,0,0.19083395942900075,0,0.19083395942900075
06/12/2025,2190,0,2190,964,229,0,229,96,0,96,0,0,0,0,0,0,0.14840182648401826,0,0.14840182648401826
06/13/2025,1891,0,1891,623,326,0,326,52,0,52,0,0,0,0,0,0,0.19989423585404548,0,0.19989423585404548
06/14/2025,625,0,625,275,62,0,62,11,0,11,0,0,0,0,0,0,0.1168,0,0.1168
06/15/2025,806,0,806,332,163,0,163,9,0,9,1,0,1,0,0,0,0.21464019851116625,0,0.21464019851116625
06/16/2025,1023,0,1023,343,131,0,131,11,0,11,0,0,0,0,0,0,0.13880742913000976,0,0.13880742913000976
06/17/2025,1872,0,1872,985,947,0,947,36,0,36,1,0,1,0,0,0,0.5256410256410257,0,0.5256410256410257
06/18/2025,1072,0,1072,481,487,0,487,11,0,11,0,0,0,0,0,0,0.46455223880597013,0,0.46455223880597013
06/19/2025,1141,0,1141,260,351,0,351,17,0,17,0,0,0,0,0,0,0.32252410166520595,0,0.32252410166520595
06/20/2025,1141,0,1141,394,206,0,206,16,0,16,2,0,2,0,0,0,0.19631901840490798,0,0.19631901840490798
06/21/2025,639,0,639,263,184,0,184,13,0,13,1,0,1,0,0,0,0.30985915492957744,0,0.30985915492957744
06/22/2025,516,0,516,210,60,0,60,1,0,1,0,0,0,0,0,0,0.1182170542635659,0,0.1182170542635659
06/23/2025,3211,0,3211,1215,1891,0,1891,64,0,64,1,0,1,0,0,0,0.6091560261600747,0,0.6091560261600747
06/24/2025,1081,0,1081,369,357,0,357,26,0,26,0,0,0,0,0,0,0.35430157261794637,0,0.35430157261794637
06/25/2025,931,0,931,301,92,0,92,16,0,16,0,0,0,0,0,0,0.11600429645542427,0,0.11600429645542427
06/26/2025,2212,0,2212,851,390,0,390,48,0,48,17,0,17,0,0,0,0.20569620253164558,0,0.20569620253164558
06/27/2025,1068,0,1068,343,326,0,326,14,0,14,1,0,1,0,0,0,0.3192883895131086,0,0.3192883895131086
06/28/2025,472,0,472,237,47,0,47,8,0,8,0,0,0,0,0,0,0.11652542372881355,0,0.11652542372881355
06/29/2025,632,0,632,228,157,0,157,3,0,3,0,0,0,0,0,0,0.25316455696202533,0,0.25316455696202533
06/30/2025,2853,0,2853,1041,2530,0,2530,74,0,74,1,0,1,2,0,2,0.9137749737118822,0,0.9137749737118822
07/01/2025,3133,0,3133,1185,3078,0,3078,54,0,54,2,0,2,0,0,0,1.000319182891797,0,1.000319182891797
07/02/2025,2662,0,2662,881,2306,0,2306,40,0,40,0,0,0,0,0,0,0.8812922614575507,0,0.8812922614575507
07/03/2025,1275,0,1275,463,770,0,770,20,0,20,2,0,2,0,0,0,0.6211764705882353,0,0.6211764705882353
07/04/2025,1451,0,1451,600,557,0,557,10,0,10,0,0,0,0,0,0,0.3907649896623019,0,0.3907649896623019
07/05/2025,1573,0,1573,456,707,0,707,5,0,5,0,0,0,-1,0,-1,0.45200254291163383,0,0.45200254291163383
07/06/2025,1776,0,1776,353,460,0,460,6,0,6,0,0,0,0,0,0,0.26238738738738737,0,0.26238738738738737
07/07/2025,1832,0,1832,695,341,0,341,48,0,48,1,0,1,0,0,0,0.212882096069869,0,0.212882096069869
07/08/2025,969,0,969,362,248,0,248,13,0,13,0,0,0,0,0,0,0.2693498452012384,0,0.2693498452012384
07/09/2025,3357,0,3357,1335,2313,0,2313,104,0,104,7,0,7,0,0,0,0.7220732797140303,0,0.7220732797140303
07/10/2025,2656,0,2656,911,1511,0,1511,58,0,58,6,0,6,0,0,0,0.5929969879518072,0,0.5929969879518072
07/11/2025,2320,0,2320,1032,665,0,665,27,0,27,0,0,0,0,0,0,0.2982758620689655,0,0.2982758620689655
07/12/2025,1249,0,1249,659,253,0,253,11,0,11,0,0,0,0,0,0,0.21136909527622097,0,0.21136909527622097
07/13/2025,895,0,895,460,318,0,318,5,0,5,0,0,0,0,0,0,0.36089385474860336,0,0.36089385474860336
07/14/2025,1162,0,1162,400,522,0,522,8,0,8,0,0,0,0,0,0,0.45611015490533563,0,0.45611015490533563
07/15/2025,1629,0,1629,708,293,0,293,46,0,46,0,0,0,1,0,1,0.2087170042971148,0,0.2087170042971148
07/16/2025,1244,0,1244,458,462,0,462,20,0,20,0,0,0,0,0,0,0.387459807073955,0,0.387459807073955
07/17/2025,1525,0,1525,323,717,0,717,15,0,15,0,0,0,0,0,0,0.48,0,0.48
07/18/2025,4172,0,4172,1588,2019,0,2019,91,0,91,7,0,7,3,0,3,0.5081495685522531,0,0.5081495685522531
07/19/2025,2121,0,2121,767,867,0,867,26,0,26,0,0,0,0,0,0,0.42102781706742104,0,0.42102781706742104
07/20/2025,1288,0,1288,453,429,0,429,17,0,17,0,0,0,1,0,1,0.3470496894409938,0,0.3470496894409938
07/21/2025,921,0,921,383,235,0,235,9,0,9,1,0,1,0,0,0,0.26601520086862107,0,0.26601520086862107
07/22/2025,1284,0,1284,354,426,0,426,7,0,7,0,0,0,0,0,0,0.3372274143302181,0,0.3372274143302181
07/23/2025,1965,0,1965,817,280,0,280,49,0,49,3,0,3,0,0,0,0.16895674300254454,0,0.16895674300254454
